1322215197.576338278;R;79935
1322215197.576699962;R;79933
1322215197.576978158;R;79931
1322215197.577247331;R;79929
1322215197.577510248;R;79927
1322215197.577779000;R;79925
1322215197.578049676;R;79923
1322215197.578311571;R;79921
1322215197.578582609;R;79919
1322215197.578845586;R;79917
1322215197.579118969;R;79915
1322215197.579378999;R;79913
1322215197.579649255;R;79911
1322215197.579919210;R;79909
1322215197.580187781;R;79907
1322215197.580564925;R;79905
1322215197.580852684;R;79903
1322215197.581138218;R;79901
1322215197.581412804;R;79899
1322215197.581681977;R;79897
1322215197.581952173;R;79895
1322215197.582223631;R;79893
1322215197.582491421;R;52734
1322215197.582756804;R;52732
1322215197.583019962;R;52730
1322215197.583281736;R;52728
1322215197.583537736;R;52726
1322215197.583801014;R;52724
1322215197.584066398;R;52722
1322215197.584329014;R;52720
1322215197.584593615;R;52718
1322215197.584861826;R;52716
1322215197.585119149;R;52714
1322215197.585380743;R;52712
1322215197.585644743;R;52710
1322215197.585915540;R;52708
1322215197.586179901;R;52706
1322215197.586449856;R;52704
1322215197.586719750;R;52702
1322215197.586982728;R;52700
1322215197.587249915;R;52698
1322215197.587519750;R;52696
1322215197.587795179;R;52694
1322215197.588068562;R;52692
1322215197.588332863;R;52690
1322215197.588598547;R;52688
1322215197.588870727;R;52685
1322215197.588873554;R;52686
1322215197.589355960;R;52683
1322215197.589623870;R;52681
1322215197.589886727;R;52679
1322215197.590144712;R;52677
1322215197.592040291;R;52675
1322215197.592524261;R;52673
1322215197.592963359;R;52672
1322215197.593415810;R;52671
1322215197.593871509;R;52669
1322215197.594326727;R;52667
1322215197.594776411;R;52665
1322215197.595229163;R;52663
1322215197.595695629;R;52661
1322215197.596150245;R;52659
1322215197.596602816;R;52657
1322215197.597061102;R;52655
1322215197.597514094;R;52653
1322215197.597964681;R;52651
1322215197.598435959;R;52649
1322215197.598889613;R;52647
1322215197.599350244;R;52645
1322215197.599799748;R;52643
1322215197.600267537;R;52641
1322215197.600767568;R;52639
1322215197.601231147;R;52637
1322215197.601691959;R;52635
1322215197.602155177;R;52633
1322215197.602616831;R;52631
1322215197.603080229;R;52629
1322215197.603549582;R;52627
1322215197.604020319;R;52625
1322215197.604477161;R;52623
1322215197.604931477;R;52621
1322215197.605393432;R;52619
1322215197.605847386;R;52616
1322215197.605850634;R;52617
1322215197.606661461;R;52614
1322215197.607113972;R;52612
1322215197.607565702;R;52610
1322215197.608010213;R;52608
1322215197.608457371;R;52606
1322215197.608856769;R;52604
1322215197.609260318;R;52602
1322215197.609698573;R;52600
1322215197.610224588;R;52598
1322215197.610715356;R;52596
1322215197.611169010;R;52594
1322215197.611626874;R;52592
1322215197.612080047;R;52590
1322215197.612632348;R;52588
1322215197.613120047;R;52586
1322215197.613583205;R;52584
1322215197.614048829;R;52582
1322215197.614517159;R;52580
1322215197.614983204;R;52578
1322215197.615436377;R;52576
1322215197.615891655;R;52574
1322215197.616344588;R;52572
1322215197.616800587;R;52570
1322215197.617257490;R;52568
1322215197.617726121;R;52566
1322215197.618185068;R;52564
1322215197.618643534;R;52562
1322215197.619106993;R;52560
1322215197.619572978;R;52558
1322215197.620033308;R;52556
1322215197.620518000;R;52554
1322215197.621029880;R;52552
1322215197.621509759;R;52550
1322215197.621967985;R;52547
1322215197.621971173;R;52548
1322215197.622794751;R;52545
1322215197.623251232;R;52544
1322215197.623708255;R;52542
1322215197.624162931;R;52539
1322215197.624601548;R;52540
1322215197.625016946;R;52537
1322215197.625415743;R;52535
1322215197.625817969;R;52533
1322215197.626239683;R;52531
1322215197.626683773;R;52529
1322215197.627139592;R;52527
1322215197.627579953;R;52525
1322215197.628296464;R;52523
1322215197.628767441;R;52521
1322215197.629233426;R;52519
1322215197.629680343;R;52517
1322215197.630131652;R;52515
1322215197.630652434;R;52513
1322215197.631116374;R;52511
1322215197.631574299;R;52509
1322215197.632032163;R;52507
1322215197.632490268;R;52505
1322215197.632941035;R;52503
1322215197.633397396;R;52501
1322215197.633849727;R;52499
1322215197.634312524;R;52497
1322215197.634772854;R;52495
1322215197.635235531;R;52493
1322215197.635690749;R;52491
1322215197.636147711;R;52489
1322215197.636601245;R;52487
1322215197.637071079;R;52485
1322215197.637530748;R;52483
1322215197.637978147;R;52481
1322215197.638446116;R;52480
1322215197.638898688;R;52479
1322215197.639354327;R;52477
1322215197.639812432;R;52475
1322215197.640260853;R;52473
1322215197.640735320;R;52470
1322215197.641159801;R;52471
1322215197.641580673;R;52468
1322215197.641989455;R;52466
1322215197.642388191;R;52464
1322215197.642787951;R;52462
1322215197.643225364;R;52460
1322215197.643678657;R;52458
1322215197.644130868;R;52456
1322215197.644578326;R;52454
1322215197.645018928;R;52452
1322215197.645464582;R;52450
1322215197.645913544;R;52448
1322215197.646372792;R;52446
1322215197.646824701;R;52444
1322215197.647280942;R;52442
1322215197.647743197;R;52440
1322215197.648200521;R;52438
1322215197.648660911;R;52436
1322215197.649112520;R;52434
1322215197.649576641;R;52432
1322215197.650036911;R;52430
1322215197.650518777;R;52428
1322215197.651085393;R;52426
1322215197.651563468;R;52424
1322215197.652032521;R;52422
1322215197.652494836;R;52420
1322215197.652959017;R;52418
1322215197.653414656;R;52416
1322215197.653926716;R;52414
1322215197.654385663;R;52412
1322215197.654835708;R;52410
1322215197.655288760;R;52408
1322215197.655746565;R;52406
1322215197.656203828;R;52404
1322215197.656658564;R;52401
1322215197.657093391;R;52402
1322215197.657547887;R;52399
1322215197.658004188;R;52397
1322215197.658409180;R;52395
1322215197.658821752;R;52393
1322215197.659230413;R;52391
1322215197.659658564;R;52389
1322215197.660105842;R;52387
1322215197.660578624;R;52385
1322215197.661028549;R;52383
1322215197.661475827;R;52381
1322215197.661916308;R;52379
1322215197.662364549;R;52377
1322215197.662812609;R;52375
1322215197.663259165;R;52373
1322215197.663706503;R;52371
1322215197.664162864;R;52369
1322215197.664614172;R;52367
1322215197.665065721;R;52365
1322215197.665521240;R;52363
1322215197.665973209;R;52361
1322215197.666425961;R;52359
1322215197.666877991;R;52357
1322215197.667343555;R;52355
1322215197.667793720;R;52353
1322215197.668245269;R;52352
1322215197.668703976;R;52351
1322215197.669152818;R;52349
1322215197.669610081;R;52347
1322215197.670066862;R;52345
1322215197.670587164;R;52343
1322215197.671039916;R;52341
1322215197.671505058;R;52339
1322215197.671954562;R;52337
1322215197.672410803;R;52335
1322215197.672875344;R;52332
1322215197.673320456;R;52333
1322215197.673765629;R;52330
1322215197.674260727;R;52328
